n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc
1,25,0.01,softmax,100,train_network_stocastic_ADAM,0.8826666666666667,0.81,0.824
1,250,0.1,sigmoid,100,train_network_SRMSprop,0.972,0.894,0.86
1,250,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.1,softmax,100,train_network_SRMSprop,0.5126666666666667,0.47,0.466
1,250,0.1,softmax,100,train_network_stocastic_ADAM,0.44666666666666666,0.418,0.412
1,250,0.01,sigmoid,100,train_network_SRMSprop,0.9973333333333333,0.922,0.876
1,250,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9986666666666667,0.906,0.846
1,250,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.01,softmax,100,train_network_SRMSprop,0.784,0.734,0.72
1,250,0.01,softmax,100,train_network_stocastic_ADAM,0.7733333333333333,0.7,0.702
1,1000,0.1,sigmoid,100,train_network_SRMSprop,0.9593333333333334,0.876,0.868
1,1000,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.1,softmax,100,train_network_SRMSprop,0.43666666666666665,0.49,0.502
1,1000,0.1,softmax,100,train_network_stocastic_ADAM,0.3626666666666667,0.464,0.38
1,1000,0.01,sigmoid,100,train_network_SRMSprop,0.9946666666666667,0.894,0.896
1,1000,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9953333333333333,0.906,0.892
1,1000,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.01,softmax,100,train_network_SRMSprop,0.8526666666666667,0.832,0.796
1,1000,0.01,softmax,100,train_network_stocastic_ADAM,0.7426666666666667,0.742,0.704
2,25,0.1,sigmoid,100,train_network_SRMSprop,0.9473333333333334,0.866,0.844
2,25,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,25,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,25,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,0.1,softmax,100,train_network_SRMSprop,0.8506666666666667,0.824,0.798
2,25,0.1,softmax,100,train_network_stocastic_ADAM,0.706,0.656,0.678
2,25,0.01,sigmoid,100,train_network_SRMSprop,0.998,0.878,0.844
2,25,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9973333333333333,0.876,0.874
2,25,0.01,ReLU,100,train_network_SRMSprop,0.9793333333333333,0.832,0.842
2,25,0.01,ReLU,100,train_network_stocastic_ADAM,0.8973333333333333,0.758,0.786
2,25,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9846666666666667,0.808,0.798
2,25,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9626666666666667,0.814,0.864
2,25,0.01,softmax,100,train_network_SRMSprop,0.9433333333333334,0.836,0.82
2,25,0.01,softmax,100,train_network_stocastic_ADAM,0.9013333333333333,0.788,0.806
2,250,0.1,sigmoid,100,train_network_SRMSprop,0.09266666666666666,0.132,0.112
2,250,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.1,softmax,100,train_network_SRMSprop,0.4026666666666667,0.388,0.394
2,250,0.1,softmax,100,train_network_stocastic_ADAM,0.268,0.286,0.288
2,250,0.01,sigmoid,100,train_network_SRMSprop,0.988,0.912,0.872
2,250,0.01,sigmoid,100,train_network_stocastic_ADAM,0.988,0.9,0.89
2,250,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,0.01,softmax,100,train_network_SRMSprop,0.8453333333333334,0.764,0.778
2,250,0.01,softmax,100,train_network_stocastic_ADAM,0.798,0.712,0.716
2,1000,0.1,sigmoid,100,train_network_SRMSprop,0.10533333333333333,0.048,0.088
2,1000,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,1000,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,1000,0.1,softmax,100,train_network_SRMSprop,0.3473333333333333,0.384,0.354
2,1000,0.1,softmax,100,train_network_stocastic_ADAM,0.22533333333333333,0.25,0.246
