n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc
0,10,0.1,leaky_ReLU,50,train_network_SRMSprop,0.9935064935064936,0.9555555555555556
0,10,0.1,leaky_ReLU,50,train_network_stocastic_ADAM,0.9842300556586271,0.925
0,10,0.1,leaky_ReLU,100,train_network_SRMSprop,0.9897959183673469,0.9555555555555556
0,10,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.9888682745825603,0.925
0,10,0.1,linear,10,train_network_SRMSprop,0.9786641929499073,0.9388888888888889
0,10,0.1,linear,10,train_network_stocastic_ADAM,0.9647495361781077,0.9333333333333333
0,10,0.1,linear,25,train_network_SRMSprop,0.9833024118738405,0.9416666666666667
0,10,0.1,linear,25,train_network_stocastic_ADAM,0.9805194805194806,0.9444444444444444
0,10,0.1,linear,50,train_network_SRMSprop,0.9907235621521335,0.9527777777777777
0,10,0.1,linear,50,train_network_stocastic_ADAM,0.9666048237476809,0.9138888888888889
0,10,0.1,linear,100,train_network_SRMSprop,0.9897959183673469,0.9444444444444444
0,10,0.1,linear,100,train_network_stocastic_ADAM,0.9935064935064936,0.9416666666666667
0,10,0.1,softmax,10,train_network_SRMSprop,0.9777365491651205,0.9305555555555556
0,10,0.1,softmax,10,train_network_stocastic_ADAM,0.9564007421150278,0.9277777777777778
0,10,0.1,softmax,25,train_network_SRMSprop,0.9907235621521335,0.9583333333333334
0,10,0.1,softmax,25,train_network_stocastic_ADAM,0.9833024118738405,0.9666666666666667
0,10,0.1,softmax,50,train_network_SRMSprop,0.9860853432282004,0.95
0,10,0.1,softmax,50,train_network_stocastic_ADAM,0.9805194805194806,0.9416666666666667
0,10,0.1,softmax,100,train_network_SRMSprop,0.9935064935064936,0.9527777777777777
0,10,0.1,softmax,100,train_network_stocastic_ADAM,0.9851576994434137,0.9444444444444444
0,10,0.01,sigmoid,10,train_network_SRMSprop,0.9406307977736549,0.8861111111111111
0,10,0.01,sigmoid,10,train_network_stocastic_ADAM,0.8951762523191095,0.8694444444444445
0,10,0.01,sigmoid,25,train_network_SRMSprop,0.9703153988868275,0.9611111111111111
0,10,0.01,sigmoid,25,train_network_stocastic_ADAM,0.9666048237476809,0.9388888888888889
