n-Layers,Layer-Config,Units,Dropout,n-Epochs,Val Accuracy,Val Loss,Test Accuracy,Test Loss
3,SimpleRNN(120) -> SimpleRNN(30) -> SimpleRNN(30),"(120, 30, 30)",0.0,10,0.7316239476203918,0.5846532583236694,0.7342419028282166,0.580815315246582
3,SimpleRNN(120) -> SimpleRNN(30) -> SimpleRNN(120),"(120, 30, 120)",0.0,10,0.7350427508354187,0.5986979007720947,0.7342419028282166,0.596459150314331
3,SimpleRNN(120) -> SimpleRNN(30) -> SimpleRNN(480),"(120, 30, 480)",0.0,10,0.7213675379753113,0.5939434766769409,0.72742760181427,0.584860622882843
3,SimpleRNN(120) -> SimpleRNN(120) -> SimpleRNN(30),"(120, 120, 30)",0.0,10,0.728205144405365,0.5719512104988098,0.7291311621665955,0.5663117170333862
3,SimpleRNN(120) -> SimpleRNN(120) -> SimpleRNN(120),"(120, 120, 120)",0.0,10,0.7264957427978516,0.5926212072372437,0.7257240414619446,0.5887831449508667
3,SimpleRNN(120) -> SimpleRNN(120) -> SimpleRNN(480),"(120, 120, 480)",0.0,10,0.7196581363677979,0.5940750241279602,0.7308347821235657,0.5830828547477722
3,SimpleRNN(120) -> SimpleRNN(480) -> SimpleRNN(30),"(120, 480, 30)",0.0,10,0.7299145460128784,0.58339524269104,0.7291311621665955,0.5841200947761536
3,SimpleRNN(120) -> SimpleRNN(480) -> SimpleRNN(120),"(120, 480, 120)",0.0,10,0.728205144405365,0.586269199848175,0.7291311621665955,0.5842618346214294
3,SimpleRNN(120) -> SimpleRNN(480) -> SimpleRNN(480),"(120, 480, 480)",0.0,10,0.7247863411903381,0.6202376484870911,0.7172061204910278,0.6340944170951843
3,SimpleRNN(480) -> SimpleRNN(30) -> SimpleRNN(30),"(480, 30, 30)",0.0,10,0.7333333492279053,0.578004777431488,0.72742760181427,0.5836358070373535
3,SimpleRNN(480) -> SimpleRNN(30) -> SimpleRNN(120),"(480, 30, 120)",0.0,10,0.728205144405365,0.582043468952179,0.7172061204910278,0.5934240221977234
3,SimpleRNN(480) -> SimpleRNN(30) -> SimpleRNN(480),"(480, 30, 480)",0.0,10,0.6854701042175293,0.6925986409187317,0.6831345558166504,0.6908962726593018
3,SimpleRNN(480) -> SimpleRNN(120) -> SimpleRNN(30),"(480, 120, 30)",0.0,10,0.7333333492279053,0.5784128308296204,0.7291311621665955,0.5804022550582886
3,SimpleRNN(480) -> SimpleRNN(120) -> SimpleRNN(120),"(480, 120, 120)",0.0,10,0.7333333492279053,0.5878903865814209,0.7325383424758911,0.5893828272819519
3,SimpleRNN(480) -> SimpleRNN(120) -> SimpleRNN(480),"(480, 120, 480)",0.0,10,0.7316239476203918,0.5926818251609802,0.7291311621665955,0.5959211587905884
3,SimpleRNN(480) -> SimpleRNN(480) -> SimpleRNN(30),"(480, 480, 30)",0.0,10,0.7316239476203918,0.5816736221313477,0.7291311621665955,0.5842234492301941
3,SimpleRNN(480) -> SimpleRNN(480) -> SimpleRNN(120),"(480, 480, 120)",0.0,10,0.7299145460128784,0.5830674171447754,0.7291311621665955,0.5840986371040344
3,SimpleRNN(480) -> SimpleRNN(480) -> SimpleRNN(480),"(480, 480, 480)",0.0,10,0.7316239476203918,0.6282624006271362,0.7291311621665955,0.6327289938926697
3,LSTM(30) -> LSTM(30) -> LSTM(30),"(30, 30, 30)",0.0,10,0.811965823173523,0.4007079601287842,0.8364565372467041,0.3746448755264282
3,LSTM(30) -> LSTM(30) -> LSTM(120),"(30, 30, 120)",0.0,10,0.8769230842590332,0.319060355424881,0.8909710645675659,0.28376632928848267
3,LSTM(30) -> LSTM(30) -> LSTM(480),"(30, 30, 480)",0.0,10,0.7299145460128784,0.5861189961433411,0.7291311621665955,0.5841948390007019
3,LSTM(30) -> LSTM(120) -> LSTM(30),"(30, 120, 30)",0.0,10,0.811965823173523,0.42608141899108887,0.822827935218811,0.4202241599559784
3,LSTM(30) -> LSTM(120) -> LSTM(120),"(30, 120, 120)",0.0,10,0.8649572730064392,0.32719337940216064,0.8586030602455139,0.3304731249809265
