n-Layers,Layer-Config,n-Units,Dropout,n-Epochs,Val Accuracy,Val Loss,Test Accuracy,Test Loss
1,SimpleRNN,30,0.0,10,0.680341899394989,0.6351320743560791,0.672913134098053,0.6454074382781982
1,LSTM,30,0.0,10,0.8290598392486572,0.39109593629837036,0.8415672779083252,0.3859752416610718
1,GRU,30,0.0,10,0.8478632569313049,0.3818454444408417,0.8381601572036743,0.3782268166542053
2,SimpleRNN -> SimpleRNN,30,0.0,10,0.728205144405365,0.598458468914032,0.7240204215049744,0.6039837598800659
2,SimpleRNN -> LSTM,30,0.0,10,0.7025641202926636,0.5969405770301819,0.6831345558166504,0.5888723731040955
2,SimpleRNN -> GRU,30,0.0,10,0.8666666746139526,0.30456823110580444,0.8534923195838928,0.30373615026474
2,LSTM -> SimpleRNN,30,0.0,10,0.811965823173523,0.41202691197395325,0.8262351155281067,0.39787259697914124
2,LSTM -> LSTM,30,0.0,10,0.8188034296035767,0.5092871785163879,0.7870528101921082,0.5075691938400269
2,LSTM -> GRU,30,0.0,10,0.8495726585388184,0.35357049107551575,0.8466780185699463,0.3556300699710846
2,GRU -> SimpleRNN,30,0.0,10,0.8222222328186035,0.37168267369270325,0.8109028935432434,0.3832118809223175
2,GRU -> LSTM,30,0.0,10,0.8752136826515198,0.3126211166381836,0.9114139676094055,0.24776463210582733
2,GRU -> GRU,30,0.0,10,0.8752136826515198,0.2871507704257965,0.8773424029350281,0.26910391449928284
3,SimpleRNN -> SimpleRNN -> SimpleRNN,30,0.0,10,0.7128205299377441,0.6027289628982544,0.7120953798294067,0.600676953792572
3,SimpleRNN -> SimpleRNN -> LSTM,30,0.0,10,0.7316239476203918,0.5679827928543091,0.7291311621665955,0.5674254894256592
3,SimpleRNN -> SimpleRNN -> GRU,30,0.0,10,0.8820512890815735,0.3116615116596222,0.8790460228919983,0.3116886019706726
3,SimpleRNN -> LSTM -> SimpleRNN,30,0.0,10,0.7299145460128784,0.5905324816703796,0.7291311621665955,0.5790604948997498
3,SimpleRNN -> LSTM -> LSTM,30,0.0,10,0.7316239476203918,0.5824335217475891,0.7257240414619446,0.5719831585884094
3,SimpleRNN -> LSTM -> GRU,30,0.0,10,0.7333333492279053,0.5658865571022034,0.7308347821235657,0.5656244158744812
3,SimpleRNN -> GRU -> SimpleRNN,30,0.0,10,0.5470085740089417,0.650469958782196,0.5536627173423767,0.6490991711616516
3,SimpleRNN -> GRU -> LSTM,30,0.0,10,0.8170940279960632,0.44060856103897095,0.7955706715583801,0.44323989748954773
3,SimpleRNN -> GRU -> GRU,30,0.0,10,0.8837606906890869,0.28798413276672363,0.8841567039489746,0.290530800819397
3,LSTM -> SimpleRNN -> SimpleRNN,30,0.0,10,0.7316239476203918,0.5918506979942322,0.7291311621665955,0.5896502733230591
3,LSTM -> SimpleRNN -> LSTM,30,0.0,10,0.8598290681838989,0.4140433073043823,0.8432708978652954,0.41830798983573914
3,LSTM -> SimpleRNN -> GRU,30,0.0,10,0.7811965942382812,0.5097708106040955,0.8040885925292969,0.48158371448516846
3,LSTM -> LSTM -> SimpleRNN,30,0.0,10,0.800000011920929,0.453071266412735,0.7887563705444336,0.4261428713798523
3,LSTM -> LSTM -> LSTM,30,0.0,10,0.8752136826515198,0.33832111954689026,0.8756388425827026,0.31810620427131653
3,LSTM -> LSTM -> GRU,30,0.0,10,0.8683760762214661,0.3244924545288086,0.8603066205978394,0.3327229917049408
3,LSTM -> GRU -> SimpleRNN,30,0.0,10,0.8649572730064392,0.35933056473731995,0.8603066205978394,0.3647305965423584
3,LSTM -> GRU -> LSTM,30,0.0,10,0.8700854778289795,0.32397130131721497,0.8773424029350281,0.2734839618206024
3,LSTM -> GRU -> GRU,30,0.0,10,0.8547008633613586,0.34333300590515137,0.8671209812164307,0.29418328404426575
3,GRU -> SimpleRNN -> SimpleRNN,30,0.0,10,0.8717948794364929,0.3006100058555603,0.8620102405548096,0.2862490117549896
3,GRU -> SimpleRNN -> LSTM,30,0.0,10,0.8888888955116272,0.2849392592906952,0.8773424029350281,0.2704591453075409
3,GRU -> SimpleRNN -> GRU,30,0.0,10,0.8905982971191406,0.28481167554855347,0.872231662273407,0.2737700343132019
3,GRU -> LSTM -> SimpleRNN,30,0.0,10,0.8547008633613586,0.32061997056007385,0.8620102405548096,0.32499387860298157
3,GRU -> LSTM -> LSTM,30,0.0,10,0.8803418874740601,0.2810961902141571,0.8926746249198914,0.27509987354278564
3,GRU -> LSTM -> GRU,30,0.0,10,0.8957265019416809,0.2577764093875885,0.8977853655815125,0.23830971121788025
3,GRU -> GRU -> SimpleRNN,30,0.0,10,0.8547008633613586,0.34680479764938354,0.8773424029350281,0.291596382856369
3,GRU -> GRU -> LSTM,30,0.0,10,0.9299145340919495,0.23749908804893494,0.9080067873001099,0.24205467104911804
3,GRU -> GRU -> GRU,30,0.0,10,0.9008547067642212,0.270662784576416,0.8858603239059448,0.28084906935691833
1,SimpleRNN,30,0.3,10,0.7196581363677979,0.5953354239463806,0.6984667778015137,0.5915284156799316
1,LSTM,30,0.3,10,0.7384615540504456,0.5703784227371216,0.72742760181427,0.5720746517181396
1,GRU,30,0.3,10,0.8957265019416809,0.270070344209671,0.8875638842582703,0.2520667016506195
2,SimpleRNN -> SimpleRNN,30,0.3,10,0.7299145460128784,0.5949462056159973,0.7291311621665955,0.5963228344917297
2,SimpleRNN -> LSTM,30,0.3,10,0.7333333492279053,0.5721811056137085,0.7325383424758911,0.5704905390739441
