epoch,mean_train_accuracy,mean_val_accuracy,mean_train_loss,mean_val_loss
1,0.7265584886074066,0.7574359118938446,0.5773934423923492,0.5279326260089874
2,0.8093082904815674,0.8181196689605713,0.41532734632492063,0.3709741860628128
3,0.8682536303997039,0.8935042798519135,0.30340454280376433,0.2604330152273178
4,0.8953671991825104,0.9061538517475128,0.24994473308324813,0.22910447865724565
5,0.9116567075252533,0.9100854754447937,0.21635294407606126,0.21692083030939102
6,0.9235909461975098,0.9095726549625397,0.19132659882307052,0.21761520057916642
7,0.9309351027011872,0.9186324834823608,0.1744953215122223,0.20655326992273332
