epoch,train_acc,test_acc,overfit_gap
1,0.9359642863273621,0.9591428637504578,-0.023178577423095703
2,0.971750020980835,0.9695714116096497,0.0021786093711853027
3,0.9787678718566895,0.9725000262260437,0.006267845630645752
4,0.9845178723335266,0.9691428542137146,0.015375018119812012
5,0.9875714182853699,0.9713571667671204,0.01621425151824951
6,0.9895356893539429,0.9762856960296631,0.013249993324279785
7,0.9920714497566223,0.9769285917282104,0.015142858028411865
8,0.9938392639160156,0.9750714302062988,0.018767833709716797
9,0.9957500100135803,0.9775000214576721,0.018249988555908203
10,0.9963928461074829,0.9779285788536072,0.018464267253875732
11,0.9972500205039978,0.9804999828338623,0.016750037670135498
12,0.9982678294181824,0.979285717010498,0.018982112407684326
13,0.9990178346633911,0.9791428446769714,0.019874989986419678
14,0.999625027179718,0.9814285635948181,0.018196463584899902
15,0.9997857213020325,0.982785701751709,0.017000019550323486
16,1.0,0.9820713996887207,0.017928600311279297
17,1.0,0.9825000166893005,0.017499983310699463
18,1.0,0.9823571443557739,0.017642855644226074
19,1.0,0.9824285507202148,0.017571449279785156
20,1.0,0.9827142953872681,0.017285704612731934
21,1.0,0.9824285507202148,0.017571449279785156
22,1.0,0.9825000166893005,0.017499983310699463
23,1.0,0.9825000166893005,0.017499983310699463
24,1.0,0.9824285507202148,0.017571449279785156
25,1.0,0.9823571443557739,0.017642855644226074
26,1.0,0.9824285507202148,0.017571449279785156
27,1.0,0.9824285507202148,0.017571449279785156
28,1.0,0.9825000166893005,0.017499983310699463
29,1.0,0.9825000166893005,0.017499983310699463
30,1.0,0.9825714230537415,0.017428576946258545
31,1.0,0.9825714230537415,0.017428576946258545
32,1.0,0.9825000166893005,0.017499983310699463
33,1.0,0.9826428294181824,0.017357170581817627
34,1.0,0.9825714230537415,0.017428576946258545
35,1.0,0.9826428294181824,0.017357170581817627
36,1.0,0.9824285507202148,0.017571449279785156
37,1.0,0.9825714230537415,0.017428576946258545
38,1.0,0.9825000166893005,0.017499983310699463
39,1.0,0.9825714230537415,0.017428576946258545
40,1.0,0.982285737991333,0.017714262008666992
41,1.0,0.982285737991333,0.017714262008666992
42,1.0,0.982285737991333,0.017714262008666992
43,1.0,0.982285737991333,0.017714262008666992
44,1.0,0.982285737991333,0.017714262008666992
45,1.0,0.9825000166893005,0.017499983310699463
46,1.0,0.9824285507202148,0.017571449279785156
47,1.0,0.9824285507202148,0.017571449279785156
48,1.0,0.9823571443557739,0.017642855644226074
49,1.0,0.9823571443557739,0.017642855644226074
50,1.0,0.9823571443557739,0.017642855644226074
51,1.0,0.9823571443557739,0.017642855644226074
52,1.0,0.982285737991333,0.017714262008666992
53,1.0,0.982285737991333,0.017714262008666992
54,1.0,0.982285737991333,0.017714262008666992
55,1.0,0.982285737991333,0.017714262008666992
56,1.0,0.982285737991333,0.017714262008666992
57,1.0,0.982285737991333,0.017714262008666992
58,1.0,0.982285737991333,0.017714262008666992
59,1.0,0.982285737991333,0.017714262008666992
60,1.0,0.982285737991333,0.017714262008666992
61,1.0,0.982285737991333,0.017714262008666992
62,1.0,0.982285737991333,0.017714262008666992
63,1.0,0.982285737991333,0.017714262008666992
64,1.0,0.982285737991333,0.017714262008666992
65,1.0,0.982285737991333,0.017714262008666992
66,1.0,0.982285737991333,0.017714262008666992
67,1.0,0.9822142720222473,0.017785727977752686
68,1.0,0.9821428656578064,0.017857134342193604
69,1.0,0.9821428656578064,0.017857134342193604
70,1.0,0.9822142720222473,0.017785727977752686
71,1.0,0.9822142720222473,0.017785727977752686
72,1.0,0.9822142720222473,0.017785727977752686
73,1.0,0.9822142720222473,0.017785727977752686
74,1.0,0.9822142720222473,0.017785727977752686
75,1.0,0.9822142720222473,0.017785727977752686
76,1.0,0.9822142720222473,0.017785727977752686
77,1.0,0.9822142720222473,0.017785727977752686
78,1.0,0.9822142720222473,0.017785727977752686
79,1.0,0.9822142720222473,0.017785727977752686
80,1.0,0.9822142720222473,0.017785727977752686
81,1.0,0.9822142720222473,0.017785727977752686
82,1.0,0.9822142720222473,0.017785727977752686
83,1.0,0.9822142720222473,0.017785727977752686
84,1.0,0.9822142720222473,0.017785727977752686
85,1.0,0.9822142720222473,0.017785727977752686
86,1.0,0.9822142720222473,0.017785727977752686
87,1.0,0.9822142720222473,0.017785727977752686
88,1.0,0.9822142720222473,0.017785727977752686
89,1.0,0.9822142720222473,0.017785727977752686
90,1.0,0.9822142720222473,0.017785727977752686
91,1.0,0.9822142720222473,0.017785727977752686
92,1.0,0.9822142720222473,0.017785727977752686
93,1.0,0.9822142720222473,0.017785727977752686
94,1.0,0.9822142720222473,0.017785727977752686
95,1.0,0.9821428656578064,0.017857134342193604
96,1.0,0.9821428656578064,0.017857134342193604
97,1.0,0.9821428656578064,0.017857134342193604
98,1.0,0.9821428656578064,0.017857134342193604
99,1.0,0.9821428656578064,0.017857134342193604
100,1.0,0.9821428656578064,0.017857134342193604
