epoch,lambda2,train_acc,test_acc,overfit_gap
1,0.001,0.8981428571428571,0.8883571428571428,0.009785714285714286
2,0.001,0.90825,0.9087857142857143,-0.000535714285714306
3,0.001,0.9134642857142857,0.9246428571428571,-0.011178571428571371
4,0.001,0.9096607142857143,0.9085714285714286,0.0010892857142856815
5,0.001,0.9383035714285715,0.9355,0.002803571428571461
6,0.001,0.938375,0.9360714285714286,0.002303571428571405
7,0.001,0.9405357142857143,0.9295,0.01103571428571426
8,0.001,0.9400714285714286,0.9331428571428572,0.006928571428571395
9,0.001,0.9446428571428571,0.9338571428571428,0.010785714285714287
10,0.001,0.9433214285714285,0.9350714285714286,0.00824999999999998
11,0.001,0.93875,0.931,0.007749999999999924
12,0.001,0.9433214285714285,0.9358571428571428,0.007464285714285701
13,0.001,0.9386607142857143,0.9310714285714285,0.007589285714285743
14,0.001,0.9396071428571429,0.9349285714285714,0.004678571428571421
15,0.001,0.9278035714285714,0.9219285714285714,0.005874999999999964
16,0.001,0.937125,0.9287857142857143,0.00833928571428566
17,0.001,0.9428392857142858,0.9376428571428571,0.005196428571428657
18,0.001,0.9432321428571429,0.9377857142857143,0.005446428571428519
19,0.001,0.9419285714285714,0.9332142857142857,0.008714285714285785
20,0.001,0.9386785714285715,0.9317142857142857,0.006964285714285756
21,0.001,0.9390357142857143,0.9341428571428572,0.004892857142857143
22,0.001,0.9308035714285714,0.9267857142857143,0.004017857142857073
23,0.001,0.9428392857142858,0.9340714285714286,0.008767857142857216
24,0.001,0.938125,0.9282857142857143,0.009839285714285717
25,0.001,0.9340535714285715,0.933,0.0010535714285714315
26,0.001,0.94075,0.9326428571428571,0.008107142857142868
27,0.001,0.9293928571428571,0.9255,0.0038928571428571423
28,0.001,0.9416964285714285,0.9375,0.004196428571428545
29,0.001,0.9415357142857143,0.9345714285714286,0.006964285714285645
30,0.001,0.945125,0.9383571428571429,0.006767857142857103
31,0.001,0.9399464285714285,0.9325,0.0074464285714285205
32,0.001,0.9456607142857143,0.9368571428571428,0.008803571428571466
33,0.001,0.9448571428571428,0.9362142857142857,0.008642857142857174
34,0.001,0.9475892857142857,0.9402142857142857,0.00737500000000002
35,0.001,0.9422142857142857,0.9330714285714286,0.00914285714285712
36,0.001,0.9378214285714286,0.9287142857142857,0.00910714285714287
37,0.001,0.9433928571428571,0.9367857142857143,0.0066071428571428115
38,0.001,0.9450535714285714,0.9435714285714286,0.0014821428571427653
39,0.001,0.9357321428571429,0.9315714285714286,0.004160714285714295
40,0.001,0.9431607142857142,0.9375,0.005660714285714241
41,0.001,0.943625,0.9394285714285714,0.0041964285714286564
42,0.001,0.9440714285714286,0.9390714285714286,0.0050000000000000044
43,0.001,0.94625,0.9387142857142857,0.007535714285714312
44,0.001,0.9258571428571428,0.9204285714285714,0.005428571428571449
45,0.001,0.9406428571428571,0.9339285714285714,0.006714285714285673
46,0.001,0.9428928571428571,0.9350714285714286,0.007821428571428535
47,0.001,0.9378214285714286,0.9333571428571429,0.004464285714285698
48,0.001,0.9512321428571429,0.944,0.007232142857142909
49,0.001,0.9156607142857143,0.9144285714285715,0.0012321428571427928
50,0.001,0.9392142857142857,0.9332142857142857,0.006000000000000005
51,0.001,0.9457142857142857,0.9385714285714286,0.0071428571428571175
52,0.001,0.9449821428571429,0.9367857142857143,0.008196428571428549
53,0.001,0.9432857142857143,0.9379285714285714,0.005357142857142838
54,0.001,0.9435357142857143,0.9349285714285714,0.008607142857142813
55,0.001,0.93125,0.924,0.007249999999999979
56,0.001,0.9454642857142858,0.9412142857142857,0.004250000000000087
57,0.001,0.9406071428571429,0.9395,0.001107142857142862
58,0.001,0.9360357142857143,0.9313571428571429,0.004678571428571421
59,0.001,0.9495892857142857,0.9405,0.009089285714285689
60,0.001,0.9332678571428571,0.9325,0.0007678571428570979
61,0.001,0.9423928571428571,0.9399285714285714,0.0024642857142856966
62,0.001,0.9415178571428572,0.9343571428571429,0.007160714285714298
63,0.001,0.9456071428571429,0.939,0.0066071428571429225
64,0.001,0.941875,0.9371428571428572,0.004732142857142851
65,0.001,0.930375,0.9248571428571428,0.00551785714285713
66,0.001,0.9429107142857143,0.9365714285714286,0.0063392857142856585
67,0.001,0.9425,0.9380714285714286,0.004428571428571448
68,0.001,0.9407678571428572,0.9367142857142857,0.004053571428571434
69,0.001,0.9475,0.9410714285714286,0.00642857142857145
70,0.001,0.9407142857142857,0.9359285714285714,0.004785714285714282
71,0.001,0.9377857142857143,0.9282857142857143,0.009500000000000064
72,0.001,0.9402142857142857,0.9350714285714286,0.005142857142857116
73,0.001,0.9390535714285714,0.9324285714285714,0.006624999999999992
74,0.001,0.9438214285714286,0.9375714285714286,0.006249999999999978
75,0.001,0.9423571428571429,0.9379285714285714,0.004428571428571448
76,0.001,0.9405357142857143,0.9357857142857143,0.004749999999999921
77,0.001,0.9338928571428572,0.9272142857142858,0.006678571428571423
78,0.001,0.9398571428571428,0.9340714285714286,0.005785714285714283
79,0.001,0.9406964285714285,0.9374285714285714,0.0032678571428571557
80,0.001,0.9413392857142857,0.9357857142857143,0.00555357142857138
81,0.001,0.9417142857142857,0.9325,0.00921428571428573
82,0.001,0.9461785714285714,0.9354285714285714,0.010750000000000037
83,0.001,0.9456785714285715,0.9369285714285714,0.008750000000000036
84,0.001,0.9396071428571429,0.9337857142857143,0.005821428571428533
85,0.001,0.9356785714285715,0.9302857142857143,0.005392857142857199
86,0.001,0.9428571428571428,0.9341428571428572,0.008714285714285674
87,0.001,0.9408035714285714,0.9351428571428572,0.005660714285714241
88,0.001,0.9434464285714286,0.9349285714285714,0.008517857142857133
89,0.001,0.9366785714285715,0.9340714285714286,0.002607142857142919
90,0.001,0.9457142857142857,0.9385,0.007214285714285729
91,0.001,0.9406607142857143,0.9360714285714286,0.00458928571428574
92,0.001,0.9410714285714286,0.9334285714285714,0.0076428571428571734
93,0.001,0.9463392857142857,0.9379285714285714,0.008410714285714271
94,0.001,0.9306964285714285,0.9272142857142858,0.003482142857142767
95,0.001,0.9457321428571429,0.9404285714285714,0.0053035714285715185
96,0.001,0.9454464285714286,0.9382857142857143,0.007160714285714298
97,0.001,0.9384464285714286,0.9314285714285714,0.007017857142857187
98,0.001,0.9470178571428571,0.939,0.008017857142857188
99,0.001,0.9442142857142857,0.9336428571428571,0.010571428571428565
100,0.001,0.9432857142857143,0.9371428571428572,0.006142857142857117
