n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc
0,250,0.01,ReLU,100,train_network_stocastic_momentum,0.996,0.836,0.848
0,250,0.01,ReLU,100,train_network_momentum,0.096,0.09,0.09
0,250,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9966666666666667,0.826,0.85
0,250,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9953333333333333,0.816,0.84
0,250,0.01,leaky_ReLU,100,train_network_stocastic_momentum,0.9926666666666667,0.842,0.828
0,250,0.01,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
0,1000,1.0,sigmoid,100,train_network_SRMSprop,0.096,0.09,0.09
0,1000,1.0,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,1000,1.0,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,1000,1.0,sigmoid,100,train_network_momentum,0.096,0.09,0.09
0,1000,1.0,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
0,1000,1.0,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,1000,1.0,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,1000,1.0,ReLU,100,train_network_momentum,0.096,0.09,0.09
0,1000,1.0,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
0,1000,1.0,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
0,1000,1.0,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,1000,1.0,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
0,1000,0.1,sigmoid,100,train_network_SRMSprop,0.982,0.798,0.824
0,1000,0.1,sigmoid,100,train_network_stocastic_ADAM,0.96,0.8,0.832
0,1000,0.1,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,1000,0.1,sigmoid,100,train_network_momentum,0.096,0.09,0.09
0,1000,0.1,ReLU,100,train_network_SRMSprop,0.984,0.85,0.832
0,1000,0.1,ReLU,100,train_network_stocastic_ADAM,0.9713333333333334,0.826,0.844
0,1000,0.1,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,1000,0.1,ReLU,100,train_network_momentum,0.096,0.09,0.09
0,1000,0.1,leaky_ReLU,100,train_network_SRMSprop,0.9866666666666667,0.808,0.806
0,1000,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.9833333333333333,0.844,0.856
0,1000,0.1,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
0,1000,0.1,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
0,1000,0.01,sigmoid,100,train_network_SRMSprop,0.998,0.82,0.84
0,1000,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9913333333333333,0.83,0.816
0,1000,0.01,sigmoid,100,train_network_stocastic_momentum,0.9886666666666667,0.838,0.824
0,1000,0.01,sigmoid,100,train_network_momentum,0.096,0.09,0.09
0,1000,0.01,ReLU,100,train_network_SRMSprop,0.9953333333333333,0.824,0.85
0,1000,0.01,ReLU,100,train_network_stocastic_ADAM,0.992,0.834,0.828
0,1000,0.01,ReLU,100,train_network_stocastic_momentum,0.992,0.82,0.816
0,1000,0.01,ReLU,100,train_network_momentum,0.096,0.09,0.09
0,1000,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9946666666666667,0.864,0.838
0,1000,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.994,0.822,0.784
0,1000,0.01,leaky_ReLU,100,train_network_stocastic_momentum,0.986,0.812,0.82
0,1000,0.01,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
1,25,1.0,sigmoid,100,train_network_SRMSprop,0.096,0.09,0.09
1,25,1.0,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,25,1.0,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,25,1.0,sigmoid,100,train_network_momentum,0.096,0.09,0.09
1,25,1.0,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,25,1.0,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,25,1.0,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,25,1.0,ReLU,100,train_network_momentum,0.096,0.09,0.09
1,25,1.0,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,25,1.0,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,25,1.0,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,25,1.0,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
1,25,0.1,sigmoid,100,train_network_SRMSprop,0.9513333333333334,0.858,0.818
1,25,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,25,0.1,sigmoid,100,train_network_stocastic_momentum,0.82,0.758,0.744
1,25,0.1,sigmoid,100,train_network_momentum,0.096,0.09,0.09
1,25,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,25,0.1,ReLU,100,train_network_stocastic_ADAM,0.38533333333333336,0.336,0.334
1,25,0.1,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,25,0.1,ReLU,100,train_network_momentum,0.096,0.09,0.09
1,25,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,25,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,25,0.1,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,25,0.1,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
1,25,0.01,sigmoid,100,train_network_SRMSprop,1.0,0.882,0.85
1,25,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9926666666666667,0.878,0.834
